exercise_name,duration_min,calories_burned,difficulty,best_for,equipment
Walking,30,150,easy,weight_loss,none
Running,30,300,hard,weight_loss,shoes
Jogging,30,250,medium,general,shoes
Cycling,30,280,medium,weight_loss,bicycle
Swimming,30,200,medium,general,pool
Yoga,30,120,easy,flexibility,mat
Pilates,30,180,medium,core,mat
Weight_Training,30,200,medium,muscle,dumbbells
HIIT,20,250,hard,weight_loss,none
Dancing,30,200,easy,weight_loss,none
Stretching,15,50,easy,flexibility,mat
Jump_Rope,15,150,hard,weight_loss,rope
Push_ups,10,50,medium,strength,none
Squats,10,40,medium,strength,none
Planks,5,50,hard,core,mat
Rowing,30,250,hard,cardio,rower
Elliptical,30,200,medium,cardio,machine
Stair_Climbing,30,220,hard,cardio,stairs
Badminton,30,250,medium,cardio,racket
Tennis,30,260,hard,cardio,racket
