food_item,calories,protein_g,carbs_g,fiber_g,sugar_g,fat_g,recommended_for,avoid_if
Rice_White,130,2.7,28,0.4,0.1,0.3,general,diabetic
Rice_Brown,111,2.6,23,1.8,0.2,0.9,general,
Bread_White,79,2.7,14,0.6,2.2,1.4,general,diabetic
Bread_Whole_Wheat,80,4.0,14,2.4,1.6,1.3,general,
Banana,89,1.1,23,2.6,12.2,0.3,general,diabetic
Apple,52,0.3,14,2.4,10.4,0.2,general,
Spinach,23,2.9,3.6,2.2,0.4,0.4,weight_loss,
Broccoli,34,2.8,7,2.4,1.4,0.4,weight_loss,
Chicken_Breast,165,31,0,0,0,3.6,general,
Fish,206,22,0,0,0,12,general,
Milk_Full_Fat,61,3.2,4.8,0,4.8,3.3,general,
Milk_Low_Fat,42,3.4,5,0,5,0.1,general,weight_loss
Yogurt_Low_Fat,59,3.5,10,0,8,0.4,general,weight_loss
Nuts_Almonds,579,21,22,12.5,4.4,50,general,
Eggs,155,13,1.1,0,1.1,11,general,
Tomato,18,0.9,3.9,1.2,2.6,0.2,general,
Cucumber,16,0.7,3.6,0.5,1.7,0.1,weight_loss,
Carrot,41,0.9,10,2.8,4.7,0.2,weight_loss,
Potato_White,77,2,17,2.1,0.8,0.1,general,diabetic
Potato_Sweet,86,1.6,20,3,4.2,0.1,general,
Olive_Oil,884,0,0,0,0,100,general,weight_loss
Butter,717,0.9,0.1,0,0.1,81,general,weight_loss
Cheese_Low_Fat,98,11,0.7,0,0.7,5,general,
Sugar_White,387,0,100,0,100,0,avoid,avoid
Honey,64,0.3,17.3,0,16.5,0,general,diabetic
Juice_Orange,45,0.7,11,0.2,9.4,0.5,general,weight_loss
Water,0,0,0,0,0,0,general,
Green_Tea,2,0.4,0.3,0,0,0,weight_loss,
Coffee_Black,2,0.3,0,0,0,0,general,
Beans_Cooked,127,8.7,23,6.4,0.2,0.4,general,
Lentils,116,9.0,20,7.9,1.5,0.4,general,
Tofu,76,8.1,1.9,1.2,0.1,4.8,weight_loss,
